field_id,report_year,company_type,retained_observation_rows,unavailable_source_fact,out_of_reporting_scope,inapplicable_company_type,out_of_period_scope,eligible_source_null,eligible_source_non_null
financial.balance_sheet.accounts_receivable.latest_reported,2019,3,31,0,0,0,0,31,0
financial.balance_sheet.accounts_receivable.latest_reported,2019,4,243,0,0,0,0,243,0
financial.balance_sheet.accounts_receivable.latest_reported,2019,7,4,0,0,4,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2020,1,27645,92,0,0,0,187,27366
financial.balance_sheet.accounts_receivable.latest_reported,2020,2,280,0,0,0,0,280,0
financial.balance_sheet.accounts_receivable.latest_reported,2020,3,36,0,0,0,0,36,0
financial.balance_sheet.accounts_receivable.latest_reported,2020,4,254,0,0,0,0,254,0
financial.balance_sheet.accounts_receivable.latest_reported,2020,7,3,0,0,3,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2021,1,27375,68,0,0,0,135,27172
financial.balance_sheet.accounts_receivable.latest_reported,2021,2,315,18,0,0,0,297,0
financial.balance_sheet.accounts_receivable.latest_reported,2021,3,41,0,0,0,0,41,0
financial.balance_sheet.accounts_receivable.latest_reported,2021,4,261,2,0,0,0,259,0
financial.balance_sheet.accounts_receivable.latest_reported,2021,7,4,0,0,4,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2022,1,26394,2128,0,0,0,203,24063
financial.balance_sheet.accounts_receivable.latest_reported,2022,2,307,122,0,0,0,185,0
financial.balance_sheet.accounts_receivable.latest_reported,2022,3,35,14,0,0,0,21,0
financial.balance_sheet.accounts_receivable.latest_reported,2022,4,229,6,0,0,0,223,0
financial.balance_sheet.accounts_receivable.latest_reported,2022,7,7,0,0,7,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2023,1,32691,558,0,0,0,178,31955
financial.balance_sheet.accounts_receivable.latest_reported,2023,2,335,128,0,0,0,207,0
financial.balance_sheet.accounts_receivable.latest_reported,2023,3,37,24,0,0,0,13,0
financial.balance_sheet.accounts_receivable.latest_reported,2023,4,278,4,0,0,0,274,0
financial.balance_sheet.accounts_receivable.latest_reported,2023,7,8,0,0,8,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2024,1,21760,1854,0,0,0,106,19800
financial.balance_sheet.accounts_receivable.latest_reported,2024,2,260,134,0,0,0,126,0
financial.balance_sheet.accounts_receivable.latest_reported,2024,3,29,14,0,0,0,15,0
financial.balance_sheet.accounts_receivable.latest_reported,2024,4,186,6,0,0,0,180,0
financial.balance_sheet.accounts_receivable.latest_reported,2024,7,8,0,0,8,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2025,1,22233,2244,0,0,0,106,19883
financial.balance_sheet.accounts_receivable.latest_reported,2025,2,257,132,0,0,0,125,0
financial.balance_sheet.accounts_receivable.latest_reported,2025,3,31,22,0,0,0,9,0
financial.balance_sheet.accounts_receivable.latest_reported,2025,4,182,0,0,0,0,182,0
financial.balance_sheet.accounts_receivable.latest_reported,2025,7,13,0,0,13,0,0,0
financial.balance_sheet.accounts_receivable.latest_reported,2026,1,10082,3695,0,0,0,23,6364
financial.balance_sheet.accounts_receivable.latest_reported,2026,2,116,84,0,0,0,32,0
financial.balance_sheet.accounts_receivable.latest_reported,2026,3,13,10,0,0,0,3,0
financial.balance_sheet.accounts_receivable.latest_reported,2026,4,86,32,0,0,0,54,0
financial.balance_sheet.accounts_receivable.latest_reported,2026,7,6,0,0,6,0,0,0
financial.balance_sheet.bonds_payable.latest_reported,1989,1,9,0,0,0,0,9,0
financial.balance_sheet.bonds_payable.latest_reported,1989,2,1,0,0,0,0,1,0
financial.balance_sheet.bonds_payable.latest_reported,1990,1,94,0,0,0,0,93,1
financial.balance_sheet.bonds_payable.latest_reported,1990,2,1,0,0,0,0,1,0
financial.balance_sheet.bonds_payable.latest_reported,1991,1,140,0,0,0,0,138,2
financial.balance_sheet.bonds_payable.latest_reported,1991,2,1,0,0,0,0,1,0
financial.balance_sheet.bonds_payable.latest_reported,1992,1,293,0,0,0,0,261,32
financial.balance_sheet.bonds_payable.latest_reported,1992,2,1,0,0,0,0,1,0
financial.balance_sheet.bonds_payable.latest_reported,1993,1,638,0,0,0,0,571,67
financial.balance_sheet.bonds_payable.latest_reported,1993,2,1,0,0,0,0,1,0
financial.balance_sheet.bonds_payable.latest_reported,1993,4,2,0,0,0,0,2,0
financial.balance_sheet.bonds_payable.latest_reported,1994,1,1013,0,0,0,0,966,47
